band,album,release_date,date_disp,month_key,sort_key,hmb_genre,hmb_url,cover_url,album_id,upcoming,final_genre,genre_status,genre_source,filter_slugs,ma_search_url
Phlegethon Temple,Crossing the Ancient Empire of Mysticism,2026-05-31,"May 31, 2026",May 2026,2026-05-31T00:00:00,,https://heavymetalbest.com/album/phlegethon-temple/crossing-the-ancient-empire-of-mysticism?albumId=Tf2DEsj4JsKPHOzNI8pX,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FCrossing-the-Ancient-Empire-of-Mysticism-full-length_1779459948552_200_200.webp?alt=media&token=6537a0fe-c248-4987-a205-48f61b83d74f,Tf2DEsj4JsKPHOzNI8pX,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Phlegethon%20Temple&type=band_name
Astar,Journey Beyond the Ages,2026-05-31,"May 31, 2026",May 2026,2026-05-31T00:00:00,,https://heavymetalbest.com/album/astar/journey-beyond-the-ages?albumId=DHKtA3tOIsWBJOjPeyUS,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FJourney-Beyond-the-Ages-full-length_1779459766029_200_200.webp?alt=media&token=9ba9cdef-52a0-44c3-81dd-5d0f6eef2839,DHKtA3tOIsWBJOjPeyUS,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Astar&type=band_name
Vølus,Elegy of the Necrochosen,2026-05-30,"May 30, 2026",May 2026,2026-05-30T00:00:00,"Noise, Black Metal, Black, Death Metal",https://heavymetalbest.com/album/vølus/elegy-of-the-necrochosen?albumId=irFJre6r8q6P13eCw9SG,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FElegy-of-the-Necrochosen-full-length_1779460085855_200_200.webp?alt=media&token=3029ccbc-cbda-4d3c-9efd-7005e70351a8,irFJre6r8q6P13eCw9SG,False,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=V%C3%B8lus&type=band_name
Sik Salvation,I.R.E.,2026-05-30,"May 30, 2026",May 2026,2026-05-30T00:00:00,Death Metal,https://heavymetalbest.com/album/sik-salvation/i.r.e.?albumId=gV2rDt8Yci4YdRcOuGsC,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FI.R.E.-full-length_1779460039899_200_200.webp?alt=media&token=2af94511-4451-4680-a569-8c9a66bff3b6,gV2rDt8Yci4YdRcOuGsC,False,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Sik%20Salvation&type=band_name
Kyanos,Deep Inside of Me,2026-05-30,"May 30, 2026",May 2026,2026-05-30T00:00:00,,https://heavymetalbest.com/album/kyanos/deep-inside-of-me?albumId=cneGHYn9FJWp2ysfZ2Ri,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FDeep-Inside-of-Me-full-length_1779459943632_200_200.webp?alt=media&token=b8cc4a2e-d631-4d87-8142-5bcb8cb74fab,cneGHYn9FJWp2ysfZ2Ri,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Kyanos&type=band_name
Rimruna,Wenn droben nachts der Frostmond thront,2026-05-30,"May 30, 2026",May 2026,2026-05-30T00:00:00,Black Metal,https://heavymetalbest.com/album/rimruna/wenn-droben-nachts-der-frostmond-thront?albumId=RbB4xLey4pkPrcETVNFH,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FWenn-droben-nachts-der-Frostmond-thront-full-length_1779459985719_200_200.webp?alt=media&token=dfec35fa-3b15-4b87-a923-f46dbf256353,RbB4xLey4pkPrcETVNFH,False,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Rimruna&type=band_name
Totenlegion,Einschlag,2026-05-30,"May 30, 2026",May 2026,2026-05-30T00:00:00,,https://heavymetalbest.com/album/totenlegion/einschlag?albumId=geHhCnPOUbLnFspXncc2,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEinschlag-full-length_1780048341243_200_200.webp?alt=media&token=f7515c7d-e4a8-4672-a76a-08c980901035,geHhCnPOUbLnFspXncc2,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Totenlegion&type=band_name
The Fifth Alliance,Stenahoria,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/the-fifth-alliance/stenahoria?albumId=tfWEbRfPX5oCkQWfPCyM,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FStenahoria-full-length_1776271396439_200_200.webp?alt=media&token=d7c3cf7f-b7e9-4844-8f4b-1e926f418eac,tfWEbRfPX5oCkQWfPCyM,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=The%20Fifth%20Alliance&type=band_name
Narnia,X,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Neoclassical, Power Metal",https://heavymetalbest.com/album/narnia/x?albumId=wRbO6pa0bBsYwVBXZC7r,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FX-full-length_1774443382410_200_200.webp?alt=media&token=b0b09413-cb43-49e3-ae6e-8c32254220fd,wRbO6pa0bBsYwVBXZC7r,True,Power Metal,verified,firebase,power-metal,https://www.metal-archives.com/search?searchString=Narnia&type=band_name
Wyrmhaven,Seasons of Gloom,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/wyrmhaven/seasons-of-gloom?albumId=ykFMcjKibE1XfWuqImO7,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSeasons-of-Gloom-full-length_1779310517845_200_200.webp?alt=media&token=94c1aa98-ecc1-4546-969c-29f166eb1983,ykFMcjKibE1XfWuqImO7,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Wyrmhaven&type=band_name
Monolord,Neverending,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Doom Metal, Stoner",https://heavymetalbest.com/album/monolord/neverending?albumId=vZDokXojWFzQ4uOVgMqR,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FNeverending-full-length_1779310433706_200_200.webp?alt=media&token=ea7a0278-9ce7-4625-b9fd-0cb5ebd32df7,vZDokXojWFzQ4uOVgMqR,False,Doom Metal,verified,firebase,doom-metal,https://www.metal-archives.com/search?searchString=Monolord&type=band_name
Godthrymm,Projections,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/godthrymm/projections?albumId=uvxGjIPk65iCEHf2Swyl,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FProjections-full-length_1779310264187_200_200.webp?alt=media&token=b4018885-b124-4fa5-b0bf-4145a7245ad7,uvxGjIPk65iCEHf2Swyl,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Godthrymm&type=band_name
Graveir,The Festering Triad,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Black Metal,https://heavymetalbest.com/album/graveir/the-festering-triad?albumId=tl4YNMv7GXMAuoPj6oDM,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Festering-Triad-full-length_1779310304553_200_200.webp?alt=media&token=21bc7771-e686-44ac-bd3a-631dc0e79cf7,tl4YNMv7GXMAuoPj6oDM,False,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Graveir&type=band_name
Serpent Lord,The Once Forgotten Ways of Old,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/serpent-lord/the-once-forgotten-ways-of-old?albumId=scpeVtMWSo1zkfTo8buq,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Once-Forgotten-Ways-of-Old-full-length_1779310461321_200_200.webp?alt=media&token=a2f25747-1d02-4b82-9570-ed4f08d9681b,scpeVtMWSo1zkfTo8buq,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Serpent%20Lord&type=band_name
Uada,Interwoven,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/uada/interwoven?albumId=quBDj61wjGqm8oDM88mZ,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FInterwoven-full-length_1774546606031_200_200.webp?alt=media&token=a27c7702-9cf9-4864-829b-f37133fa1b69,quBDj61wjGqm8oDM88mZ,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Uada&type=band_name
Mother Bear,Orm 2,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Doom Metal, Stoner",https://heavymetalbest.com/album/mother-bear/orm-2?albumId=oEi8xLDlSdPv5JM6JnKH,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FOrm-2-full-length_1779387118684_200_200.webp?alt=media&token=82849f60-507c-4253-8c51-e96486a43418,oEi8xLDlSdPv5JM6JnKH,False,Doom Metal,verified,firebase,doom-metal,https://www.metal-archives.com/search?searchString=Mother%20Bear&type=band_name
TDW,Bane of the Talebearer OST,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Progressive Metal,https://heavymetalbest.com/album/tdw/bane-of-the-talebearer-ost?albumId=o2hPINM9tJmXwXPFl7LE,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FBane-of-the-Talebearer-OST-full-length_1779387261243_200_200.webp?alt=media&token=a5847662-9634-4b8b-bfd4-6c22ca284c63,o2hPINM9tJmXwXPFl7LE,False,Progressive Metal,verified,firebase,progressive-metal,https://www.metal-archives.com/search?searchString=TDW&type=band_name
Maladie,The Dance of Tragedies,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Progressive, Progressive Metal, Avant-garde Black Metal",https://heavymetalbest.com/album/maladie/the-dance-of-tragedies?albumId=lleWuUqVYWUEXTpXlTc7,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Dance-of-Tragedies-full-length_1779387085389_200_200.webp?alt=media&token=8c61b1b0-275b-44c6-b1d1-1fcf0e02763a,lleWuUqVYWUEXTpXlTc7,False,Progressive Metal,verified,firebase,progressive-metal,https://www.metal-archives.com/search?searchString=Maladie&type=band_name
Tooms,Karst,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/tooms/karst?albumId=lIfCFdfHD87IATbua9sP,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FKarst-full-length_1779387312860_200_200.webp?alt=media&token=b86a2020-1af9-4344-bfc0-cf3ec2409236,lIfCFdfHD87IATbua9sP,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Tooms&type=band_name
Ice Chemicals,The Lowest Point,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/ice-chemicals/the-lowest-point?albumId=inkL6BTKyV8lKPEB0OEw,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Lowest-Point-full-length_1779459917243_200_200.webp?alt=media&token=bf6fa962-244e-4872-9968-5fe7d3505378,inkL6BTKyV8lKPEB0OEw,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Ice%20Chemicals&type=band_name
Sarcasm,Lifeforce Omnibound,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Melodic, Blackened Death Metal, Death Metal",https://heavymetalbest.com/album/sarcasm/lifeforce-omnibound?albumId=hn20JZ7bIYuHwWWH2lw4,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FLifeforce-Omnibound-full-length_1779037304638_200_200.webp?alt=media&token=7258698b-8cd2-4fc4-bfd4-7438b868f82f,hn20JZ7bIYuHwWWH2lw4,False,Blackened Death Metal,verified,firebase,blackened-death-metal,https://www.metal-archives.com/search?searchString=Sarcasm&type=band_name
Brånd,Tåg & Nåcht,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/brånd/tåg-&-nåcht?albumId=f2qj1ZWjIyPcXyHZbnGg,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FTåg-&-Nåcht-full-length_1779310191044_200_200.webp?alt=media&token=8ae3f31a-c26f-44e2-a677-d95458f50c0c,f2qj1ZWjIyPcXyHZbnGg,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Br%C3%A5nd&type=band_name
Balmora,These Graven Halls,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/balmora/these-graven-halls?albumId=eiZhmlkHGndDw80obSd4,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThese-Graven-Halls-full-length_1779310143254_200_200.webp?alt=media&token=c26d695a-1415-4f6b-af6f-e2482705afc2,eiZhmlkHGndDw80obSd4,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Balmora&type=band_name
Furnace,Echoes of a Distant Future,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Death Metal,https://heavymetalbest.com/album/furnace/echoes-of-a-distant-future?albumId=e3BiwztGlB5bFkxlxVSD,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEchoes-of-a-Distant-Future-full-length_1779387984847_200_200.webp?alt=media&token=793a819a-58e2-4feb-86dc-a6b2bfa2606b,e3BiwztGlB5bFkxlxVSD,False,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Furnace&type=band_name
Musta Suru,Viimeinen viilto,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/musta-suru/viimeinen-viilto?albumId=bxgQJrJkBOXLo8ZmOYbw,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FViimeinen-viilto-full-length_1779310444384_200_200.webp?alt=media&token=1d91b7eb-4401-409b-af1f-be2a847deff0,bxgQJrJkBOXLo8ZmOYbw,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Musta%20Suru&type=band_name
Joel H Bulsara,Hastur the King,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Doom, Doom Metal, Stoner Metal",https://heavymetalbest.com/album/joel-h-bulsara/hastur-the-king?albumId=bZDlkyvgQU940ol9ZwXP,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FHastur-the-King-full-length_1779387077088_200_200.webp?alt=media&token=1427de4e-d2c4-46a7-acb4-71e7163ac2c7,bZDlkyvgQU940ol9ZwXP,False,Doom Metal,verified,firebase,doom-metal,https://www.metal-archives.com/search?searchString=Joel%20H%20Bulsara&type=band_name
"Se, josta ei puhuta",Syvyyden portit on saatava auki,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Thrash Metal, Melodic Death","https://heavymetalbest.com/album/se,-josta-ei-puhuta/syvyyden-portit-on-saatava-auki?albumId=bJszM7JNMr4gjM6dydfV",https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSyvyyden-portit-on-saatava-auki-full-length_1779037339914_200_200.webp?alt=media&token=6b2e1f5e-7302-4301-aba5-1e1128d1d819,bJszM7JNMr4gjM6dydfV,False,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Se%2C%20josta%20ei%20puhuta&type=band_name
Ironwill,Reforged Within,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Heavy Metal,https://heavymetalbest.com/album/ironwill/reforged-within?albumId=aFI5SSqOo2Ly9ef1Kkpf,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FReforged-Within-full-length_1779037203807_200_200.webp?alt=media&token=31915f5b-f302-4db1-8d73-3c46d61bac9b,aFI5SSqOo2Ly9ef1Kkpf,False,Heavy Metal,verified,firebase,heavy-metal,https://www.metal-archives.com/search?searchString=Ironwill&type=band_name
Misanthrope,Embrasement,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Melodic Death Metal, Progressive, Progressive Metal",https://heavymetalbest.com/album/misanthrope/embrasement?albumId=XC4uOjGBAHXluxTCpSzL,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEmbrasement-full-length_1779310399175_200_200.webp?alt=media&token=9a2a8246-8a86-4eab-85ea-1ad2b45bd56a,XC4uOjGBAHXluxTCpSzL,False,Melodic Death Metal,verified,firebase,melodic-death-metal,https://www.metal-archives.com/search?searchString=Misanthrope&type=band_name
Masquerage,Atomic Spies,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Power Metal,https://heavymetalbest.com/album/masquerage/atomic-spies?albumId=X2A8i4f8DbTue3FhBO76,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAtomic-Spies-full-length_1779310383401_200_200.webp?alt=media&token=19edecc3-d2e9-4d6b-8b48-db480fd8d4e8,X2A8i4f8DbTue3FhBO76,False,Power Metal,verified,firebase,power-metal,https://www.metal-archives.com/search?searchString=Masquerage&type=band_name
Elder,Through Zero,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Progressive Rock, Doom Metal, Stoner, Psychedelic Stoner Metal",https://heavymetalbest.com/album/elder/through-zero?albumId=WmweVzmXMDODNd1KlTtu,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThrough-Zero-full-length_1779037140096_200_200.webp?alt=media&token=6c69ab13-738d-4310-b39a-2f5122a54eeb,WmweVzmXMDODNd1KlTtu,False,Doom Metal,verified,firebase,doom-metal,https://www.metal-archives.com/search?searchString=Elder&type=band_name
Crocell,Swarm of Insects,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Melodic Death Metal, Black Metal, Black, Death Metal",https://heavymetalbest.com/album/crocell/swarm-of-insects?albumId=U74QVjixATnadKJ15hR7,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSwarm-of-Insects-full-length_1779037054308_200_200.webp?alt=media&token=d662b396-e33d-470e-b5f2-3188d2f93e7e,U74QVjixATnadKJ15hR7,False,Melodic Death Metal,verified,firebase,melodic-death-metal,https://www.metal-archives.com/search?searchString=Crocell&type=band_name
Verzauber,Dire Garden of the Ages,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Black Metal,https://heavymetalbest.com/album/verzauber/dire-garden-of-the-ages?albumId=RoUP2MzVdIQHQ9ymLMtB,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FDire-Garden-of-the-Ages-full-length_1779387335994_200_200.webp?alt=media&token=fe2ac46a-9cae-4e8f-8d31-993ae6989b87,RoUP2MzVdIQHQ9ymLMtB,False,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Verzauber&type=band_name
Serpent,The Trumpets Have Hailed,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Thrash, Heavy Metal, Thrash Metal",https://heavymetalbest.com/album/serpent/the-trumpets-have-hailed?albumId=RH1eo3eCZkBITBJHqHXo,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Trumpets-Have-Hailed-full-length_1779460006028_200_200.webp?alt=media&token=6ea2267f-847f-461d-ada8-7cff9ccad099,RH1eo3eCZkBITBJHqHXo,False,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Serpent&type=band_name
Vault,Hush,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/vault/hush?albumId=NNInp1KLk0uMIZLIfzYn,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FHush-full-length_1779387320774_200_200.webp?alt=media&token=ec9d4484-5a70-4480-9c6b-014ebbd579e5,NNInp1KLk0uMIZLIfzYn,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Vault&type=band_name
Pharmacist,Vertebrae After Vertebrae,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Thrash, Thrash Metal, Melodic Death Metal, Goregrind, Grindcore, Death Metal",https://heavymetalbest.com/album/pharmacist/vertebrae-after-vertebrae?albumId=M4kngOv0rsSumn2Ymw21,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FVertebrae-After-Vertebrae-full-length_1779387174739_200_200.webp?alt=media&token=4c649564-fb55-4b10-a5ab-254f14049552,M4kngOv0rsSumn2Ymw21,False,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Pharmacist&type=band_name
The Scalar Process,Agnomysticism,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Technical Death Metal, Progressive, Progressive Metal",https://heavymetalbest.com/album/the-scalar-process/agnomysticism?albumId=LN25uS7OMvOIAZhpeZgg,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAgnomysticism-full-length_1779037354405_200_200.webp?alt=media&token=e0a6d47f-288c-4c6e-8032-5590dfe659b1,LN25uS7OMvOIAZhpeZgg,False,Technical Death Metal,verified,firebase,technical-death-metal,https://www.metal-archives.com/search?searchString=The%20Scalar%20Process&type=band_name
Frankenbok,The Ariba War Honkle,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/frankenbok/the-ariba-war-honkle?albumId=JNiUJOu0OWv4qmwVKPVt,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Ariba-War-Honkle-full-length_1779387016704_200_200.webp?alt=media&token=33344a80-36f6-4dcb-b6f9-377812a05899,JNiUJOu0OWv4qmwVKPVt,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Frankenbok&type=band_name
Trelldom,...by the Word...,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Black Metal, Avant-garde Black Metal",https://heavymetalbest.com/album/trelldom/...by-the-word...?albumId=FU2WM2GGwpTsQG9Lapw6,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2F...by-the-Word...-full-length_1779037367806_200_200.webp?alt=media&token=02beb235-1388-4bda-9bd5-898381ce1a76,FU2WM2GGwpTsQG9Lapw6,False,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Trelldom&type=band_name
Ana,Motivated by Death,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,,https://heavymetalbest.com/album/ana/motivated-by-death?albumId=FDGLU5PDY1CXiLRBFd94,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FMotivated-by-Death-full-length_1779037030805_200_200.webp?alt=media&token=4d670109-f330-408a-bdf7-a02c1f4a2bac,FDGLU5PDY1CXiLRBFd94,False,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Ana&type=band_name
Redshift,Down the Wire,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Progressive Metal,https://heavymetalbest.com/album/redshift/down-the-wire?albumId=F4isqDVqpkyl83Msw7O5,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FDown-the-Wire-full-length_1779387179904_200_200.webp?alt=media&token=acea7136-12cc-4303-af7d-24c775695c2c,F4isqDVqpkyl83Msw7O5,False,Progressive Metal,verified,firebase,progressive-metal,https://www.metal-archives.com/search?searchString=Redshift&type=band_name
Leatherwitch,First Spell,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Heavy Metal,https://heavymetalbest.com/album/leatherwitch/first-spell?albumId=EoyWNJxgKn6urZMDXbM5,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FFirst-Spell-full-length_1779310323898_200_200.webp?alt=media&token=26cd435a-3574-4a09-85fc-9d039a4a6ff6,EoyWNJxgKn6urZMDXbM5,False,Heavy Metal,verified,firebase,heavy-metal,https://www.metal-archives.com/search?searchString=Leatherwitch&type=band_name
Tyrann,Tyrann Forever,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Heavy Metal,https://heavymetalbest.com/album/tyrann/tyrann-forever?albumId=CzXeSh900Kx8ziQPWJG5,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FTyrann-Forever-full-length_1779037378355_200_200.webp?alt=media&token=26fda12c-9e3e-4032-ae43-c62aaf14fec6,CzXeSh900Kx8ziQPWJG5,False,Heavy Metal,verified,firebase,heavy-metal,https://www.metal-archives.com/search?searchString=Tyrann&type=band_name
Torturebitch,In Mood for Murder,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,"Punk, Thrash Metal",https://heavymetalbest.com/album/torturebitch/in-mood-for-murder?albumId=9zJ9Mg5MbTVAqsYkoYtx,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FIn-Mood-for-Murder-full-length_1779460077603_200_200.webp?alt=media&token=6a0693fb-b69b-4eed-885e-3251c1ed294f,9zJ9Mg5MbTVAqsYkoYtx,False,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Torturebitch&type=band_name
Degenerated,Echoes of Infection,2026-05-29,"May 29, 2026",May 2026,2026-05-29T00:00:00,Death Metal,https://heavymetalbest.com/album/degenerated/echoes-of-infection?albumId=9vQbmqpoYJltOvDKQSQk,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEchoes-of-Infection-full-length_1779037069481_200_200.webp?alt=media&token=62b0d614-0da3-4fd9-a422-79bcd86d3c53,9vQbmqpoYJltOvDKQSQk,False,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Degenerated&type=band_name
