band,album,release_date,date_disp,month_key,sort_key,hmb_genre,hmb_url,cover_url,album_id,upcoming
Malist,Eternal Echo of the Fall,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Black Metal,https://heavymetalbest.com/album/malist/eternal-echo-of-the-fall?albumId=uGN1J35xm13acvpeiUWS,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEternal-Echo-of-the-Fall-full-length_1779969791278_200_200.webp?alt=media&token=f98ff4b9-bb97-4730-8ec5-bff48c41b136,uGN1J35xm13acvpeiUWS,True
Bloodhunter,Sons of the Abandoned,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/bloodhunter/sons-of-the-abandoned?albumId=uShWKQ8YhRUPSD8GqerK,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSons-of-the-Abandoned-full-length_1779968648990_200_200.webp?alt=media&token=88c0e152-c516-42e7-9130-48b25e423762,uShWKQ8YhRUPSD8GqerK,True
Stormkeep,The Nocturnes of Iswylm,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/stormkeep/the-nocturnes-of-iswylm?albumId=yd0oVL5mBmvHNg5mFhLJ,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Nocturnes-of-Iswylm-full-length_1779969897945_200_200.webp?alt=media&token=88479ac7-08cb-4575-91dc-9cd9a6234273,yd0oVL5mBmvHNg5mFhLJ,True
Day 40,Phenomenon,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Thrash Metal,https://heavymetalbest.com/album/day-40/phenomenon?albumId=z8zgP9iEQ53SILv14RCP,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FPhenomenon-full-length_1779874951985_200_200.webp?alt=media&token=b45cbd1c-6c24-436f-af26-3ff68f3585cb,z8zgP9iEQ53SILv14RCP,True
Blind Watchmaker,Behold the Event Horizon,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Heavy Metal,https://heavymetalbest.com/album/blind-watchmaker/behold-the-event-horizon?albumId=8ERwYTcfOqlHj0taaQdT,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FBehold-the-Event-Horizon-full-length_1780489270838_200_200.webp?alt=media&token=2d49a78b-4af6-40ea-9433-1324c3f5e69b,8ERwYTcfOqlHj0taaQdT,True
Fyrnask,Íosir,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Black Metal,https://heavymetalbest.com/album/fyrnask/íosir?albumId=Jrp4Xczk0xrPSpcIZ2pD,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FÍosir-full-length_1780489317378_200_200.webp?alt=media&token=68c26448-c536-4e31-9db3-49b0f0d840e2,Jrp4Xczk0xrPSpcIZ2pD,True
Wizzmakin,The Powerhouse Act,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,"Heavy Metal, Hard Rock",https://heavymetalbest.com/album/wizzmakin/the-powerhouse-act?albumId=XF0Qdb08hCHCrTz9KfmS,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Powerhouse-Act-full-length_1780489536494_200_200.webp?alt=media&token=fd04219e-6c2c-4dbf-9a3a-d03f746f78d2,XF0Qdb08hCHCrTz9KfmS,True
Desdemona,State of Invocation,2026-06-10,"June 10, 2026",June 2026,2026-06-10T00:00:00,Doom Metal,https://heavymetalbest.com/album/desdemona/state-of-invocation?albumId=KkPgBKQQSHinH48dyMAj,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FState-of-Invocation-full-length_1779874985078_200_200.webp?alt=media&token=25eaea06-95ac-40ac-9621-13b1970441eb,KkPgBKQQSHinH48dyMAj,True
Pylar,Delyrio,2026-06-10,"June 10, 2026",June 2026,2026-06-10T00:00:00,"Doom Metal, Drone",https://heavymetalbest.com/album/pylar/delyrio?albumId=YKGt750VqBONYfkeopZU,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FDelyrio-full-length_1779875314787_200_200.webp?alt=media&token=3abc7016-d4e7-4f56-9e05-6b6d9d70ccba,YKGt750VqBONYfkeopZU,True
Véhémence,Assiégé pour l'éternité,2026-06-10,"June 10, 2026",June 2026,2026-06-10T00:00:00,,https://heavymetalbest.com/album/véhémence/assiégé-pour-l'éternité?albumId=aXHcRODDZUYJgenlcxU0,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAssiégé-pour-l'éternité-full-length_1779875531425_200_200.webp?alt=media&token=8f3cf6d1-2da1-4b63-ae46-2a9f7d86fbf5,aXHcRODDZUYJgenlcxU0,True
Confused Mind,Ascendancy Of Confusion,2026-06-10,"June 10, 2026",June 2026,2026-06-10T00:00:00,Thrash Metal,https://heavymetalbest.com/album/confused-mind/ascendancy-of-confusion?albumId=t6R1EQuP6K9lHuLmrUPj,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAscendancy-Of-Confusion-full-length_1779874899213_200_200.webp?alt=media&token=efc56fa2-240a-48d3-84e3-899ba263dc0b,t6R1EQuP6K9lHuLmrUPj,True
Argahal,The Path of the Lonely Man,2026-06-07,"June 7, 2026",June 2026,2026-06-07T00:00:00,Black Metal,https://heavymetalbest.com/album/argahal/the-path-of-the-lonely-man?albumId=tRB3UZ3YDGgjdNl1XMAg,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Path-of-the-Lonely-Man-full-length_1779874804740_200_200.webp?alt=media&token=646b9c4f-2079-42b7-8efb-e51c9e547d92,tRB3UZ3YDGgjdNl1XMAg,False
Larve,Noise from Beyond,2026-06-07,"June 7, 2026",June 2026,2026-06-07T00:00:00,Black Metal,https://heavymetalbest.com/album/larve/noise-from-beyond?albumId=1LIyd8C1IYHsbll4TWVt,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FNoise-from-Beyond-full-length_1779875203545_200_200.webp?alt=media&token=0354c4b7-5139-442d-aadc-cf0d95c5f49b,1LIyd8C1IYHsbll4TWVt,False
Magefa,Legion,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,Death Metal,https://heavymetalbest.com/album/magefa/legion?albumId=IQAnbpIPSixPtgYwYI9u,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FLegion-full-length_1776340940977_200_200.webp?alt=media&token=308d5d5e-07ee-4018-a5a5-c37b6955b929,IQAnbpIPSixPtgYwYI9u,True
Vølus,Grim Dark Execution,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,"Black, Noise, Death Metal, Black Metal",https://heavymetalbest.com/album/vølus/grim-dark-execution?albumId=DyWrNSmI3ZqncYRhSI1u,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FGrim-Dark-Execution-full-length_1779460091312_200_200.webp?alt=media&token=4e12d203-72fd-4267-82f0-065c170ce554,DyWrNSmI3ZqncYRhSI1u,True
Godless,Adversus Parousia,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,Death Metal,https://heavymetalbest.com/album/godless/adversus-parousia?albumId=p3q417zawkr3H11fKwxo,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAdversus-Parousia-full-length_1779875062140_200_200.webp?alt=media&token=0ce4a4ba-9b59-46fe-ab1b-9b8080d71aa6,p3q417zawkr3H11fKwxo,False
Space Parasites,Make Me Evil,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,Thrash Metal,https://heavymetalbest.com/album/space-parasites/make-me-evil?albumId=oHxgLyEKiUcBXDXgH6qd,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FMake-Me-Evil-full-length_1779875462812_200_200.webp?alt=media&token=1893908a-1175-4638-a8ea-b6e65893f016,oHxgLyEKiUcBXDXgH6qd,False
The Conquering,Guillotine,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,"Viking, Folk, Black Metal",https://heavymetalbest.com/album/the-conquering/guillotine?albumId=lQz9HqAldUOF5YZcSeAc,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FGuillotine-full-length_1779875500197_200_200.webp?alt=media&token=d152b1b0-5d36-461e-b62a-539e373698bb,lQz9HqAldUOF5YZcSeAc,False
Dead Void,Cranial Devastation,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,"Doom Metal, Death Metal, Death",https://heavymetalbest.com/album/dead-void/cranial-devastation?albumId=jmXPr3fYCBUQUncqQNfN,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FCranial-Devastation-full-length_1779874969012_200_200.webp?alt=media&token=e20a53b7-2cf7-49cc-a5d3-f1c9d609d741,jmXPr3fYCBUQUncqQNfN,False
Lucrecia,Sedm hříchů,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,"Power, Thrash Metal, Power Metal",https://heavymetalbest.com/album/lucrecia/sedm-hříchů?albumId=gwOg950MDi67iBzByyFF,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSedm-hříchů-full-length_1779875242351_200_200.webp?alt=media&token=328c7245-5fd3-4ba3-aaac-6cf72ee47fd8,gwOg950MDi67iBzByyFF,False
Rotten Tomb,Vestiges of Tortured Souls,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,Death Metal,https://heavymetalbest.com/album/rotten-tomb/vestiges-of-tortured-souls?albumId=IkdC2zx82R7BT3lQI1ML,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FVestiges-of-Tortured-Souls-full-length_1779875413669_200_200.webp?alt=media&token=c63388da-4aec-4a5e-8b24-99257902f543,IkdC2zx82R7BT3lQI1ML,False
Nachtheem,Waan van de leegte,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,Black Metal,https://heavymetalbest.com/album/nachtheem/waan-van-de-leegte?albumId=HwQ9LZTzlVsRl6enyeHF,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FWaan-van-de-leegte-full-length_1779875267189_200_200.webp?alt=media&token=fa22955a-5bde-42e6-8a25-738e3d078e6e,HwQ9LZTzlVsRl6enyeHF,False
Iron Kingdom,Shadows and Dust,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,Heavy Metal,https://heavymetalbest.com/album/iron-kingdom/shadows-and-dust?albumId=3tpdCsG1BsGkAuGRfTLw,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FShadows-and-Dust-full-length_1779875183423_200_200.webp?alt=media&token=4b340598-6c7c-4c59-96a6-4aaa99476bae,3tpdCsG1BsGkAuGRfTLw,False
Gravety,Of Cults and Chaos,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,"Epic Heavy Metal, Thrash Metal, Epic Heavy",https://heavymetalbest.com/album/gravety/of-cults-and-chaos?albumId=165ErjLyJLJx71JId8ey,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FOf-Cults-and-Chaos-full-length_1779548085685_200_200.webp?alt=media&token=94014e73-b7d9-4015-b284-37ad398eed10,165ErjLyJLJx71JId8ey,True
Churchacide,Nuclear Conjuration,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,"Black, Death Metal, Black Metal",https://heavymetalbest.com/album/churchacide/nuclear-conjuration?albumId=1HGKtTxL2LgLNTy38qvC,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FNuclear-Conjuration-full-length_1779640967910_200_200.webp?alt=media&token=4def8e04-e5bf-4766-a564-92f76d4c6e56,1HGKtTxL2LgLNTy38qvC,True
Urkraft,Naturens skrik,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,Black Metal,https://heavymetalbest.com/album/urkraft/naturens-skrik?albumId=6rw1emkwo27T5AUl3Py5,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FNaturens-skrik-full-length_1779641262857_200_200.webp?alt=media&token=9095f9b2-0f92-4e5e-9b0c-8533ef597a3a,6rw1emkwo27T5AUl3Py5,True
Edoma,Гимны ледяного царства,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,"Black, Death Metal, Black Metal",https://heavymetalbest.com/album/edoma/гимны-ледяного-царства?albumId=GIsRzOuHLIaP6yq2ky1s,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FГимны-ледяного-царства-full-length_1779641038050_200_200.webp?alt=media&token=988617ca-4bb5-4a3a-9d9b-6301c43d38ab,GIsRzOuHLIaP6yq2ky1s,True
Embryonic Autopsy,Rise of the Mutated,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,Death Metal,https://heavymetalbest.com/album/embryonic-autopsy/rise-of-the-mutated?albumId=H64N8qbLubJzJ876IkdG,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FRise-of-the-Mutated-full-length_1779641045049_200_200.webp?alt=media&token=9588cca5-aa54-43fe-a7f2-c42079935d74,H64N8qbLubJzJ876IkdG,True
Tommy Concrete,Sustained Beating,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,Progressive Metal,https://heavymetalbest.com/album/tommy-concrete/sustained-beating?albumId=IDpWv3zpyMX4TBpB0MpL,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSustained-Beating-full-length_1779548182493_200_200.webp?alt=media&token=66b1f0a7-e7a9-4944-abf7-25e0c149b6a2,IDpWv3zpyMX4TBpB0MpL,True
Chullachaqui,Epiphanic Perdition,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/chullachaqui/epiphanic-perdition?albumId=JsgTYZwyPV0MzWrnFZ8p,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEpiphanic-Perdition-full-length_1779547855601_200_200.webp?alt=media&token=35e9f705-d74d-4326-94d9-dbe4e152d7f1,JsgTYZwyPV0MzWrnFZ8p,True
Blood Incantation,All Gates Open (Original Motion Picture Soundtrack),2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,Death Metal,https://heavymetalbest.com/album/blood-incantation/all-gates-open-(original-motion-picture-soundtrack)?albumId=N1LamD1cSC99xl2SMnDz,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAll-Gates-Open-(Original-Motion-Picture-Soundtrack)-full-length_1779640930322_200_200.webp?alt=media&token=1a461410-7eff-465e-ba33-346f87debb52,N1LamD1cSC99xl2SMnDz,True
Midnight Rider,Limited Infinity,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,Heavy Metal,https://heavymetalbest.com/album/midnight-rider/limited-infinity?albumId=OTwvZbjPNJx2glnU3eBr,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FLimited-Infinity-full-length_1779641097170_200_200.webp?alt=media&token=4ce149df-0a0d-4b8e-9094-17d4482cd669,OTwvZbjPNJx2glnU3eBr,True
Bloody Falls,IV,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/bloody-falls/iv?albumId=QDcMsKh3LgQAkXMU2sDv,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FIV-full-length_1779547842727_200_200.webp?alt=media&token=4c4145cd-ea6b-4768-b4a5-e31496e3ffda,QDcMsKh3LgQAkXMU2sDv,True
Sleepbomb,Songs in the Key of Conan,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,"Post-Metal, Doom, Doom Metal, Sludge",https://heavymetalbest.com/album/sleepbomb/songs-in-the-key-of-conan?albumId=Qk0s8uUiIYavv1zDP9hA,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSongs-in-the-Key-of-Conan-full-length_1779641167099_200_200.webp?alt=media&token=e17d1429-23fa-4d4d-861e-8cbf71ad98c2,Qk0s8uUiIYavv1zDP9hA,True
Belushi Speed Ball,Toxic Waste Was Everywhere in the '80s,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,"Thrash Metal, Crossover",https://heavymetalbest.com/album/belushi-speed-ball/toxic-waste-was-everywhere-in-the-'80s?albumId=TXm4xeBnoBz5DFTbz3Fo,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FToxic-Waste-Was-Everywhere-in-the-'80s-full-length_1779640903169_200_200.webp?alt=media&token=2e5cb178-bb0a-432d-8d2e-23492452eb36,TXm4xeBnoBz5DFTbz3Fo,True
Dissentient,Black Galactic,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,"Black, Progressive Death Metal, Death Metal, Black Metal",https://heavymetalbest.com/album/dissentient/black-galactic?albumId=Yc8ee9OFKz6VRGtvSa9N,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FBlack-Galactic-full-length_1779641006597_200_200.webp?alt=media&token=2806b13b-b124-4c38-b412-9ca0e9293284,Yc8ee9OFKz6VRGtvSa9N,True
Evergrey,Architects of a New Weave,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,"Progressive Metal, Power Metal, Progressive",https://heavymetalbest.com/album/evergrey/architects-of-a-new-weave?albumId=aBTj9p0SUA2idzRRD4jz,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FArchitects-of-a-New-Weave-full-length_1779552108823_200_200.webp?alt=media&token=cf546dbb-df5a-4180-a59e-78edcb0b79aa,aBTj9p0SUA2idzRRD4jz,True
Medusa's Wrath,The Seventh Plague of Babylon,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,Heavy Metal,https://heavymetalbest.com/album/medusa's-wrath/the-seventh-plague-of-babylon?albumId=m3HulHqihmTtSXe6zXFA,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Seventh-Plague-of-Babylon-full-length_1779641077114_200_200.webp?alt=media&token=1ea9ae81-ffc0-4b61-98af-faf86bc5f6c6,m3HulHqihmTtSXe6zXFA,True
Xenosis,Hermetic Transmutation,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/xenosis/hermetic-transmutation?albumId=nPKqrnbWL5GbhQP1W7ii,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FHermetic-Transmutation-full-length_1779548246085_200_200.webp?alt=media&token=ff2fb795-d5df-452d-9c74-50d026789233,nPKqrnbWL5GbhQP1W7ii,True
W.M.D.,Against All Warnings,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,Thrash Metal,https://heavymetalbest.com/album/w.m.d./against-all-warnings?albumId=nrIKI3i2kpYt5EB598b9,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAgainst-All-Warnings-full-length_1779641280738_200_200.webp?alt=media&token=80723a23-64d6-4c36-8e82-a2dc3531f75b,nrIKI3i2kpYt5EB598b9,True
Primal Cult,Dark Passage,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/primal-cult/dark-passage?albumId=oEGOUV6wQPRBUDCixLoG,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FDark-Passage-full-length_1779641119742_200_200.webp?alt=media&token=c257dab5-b1f0-48e4-acd9-d48251fdf871,oEGOUV6wQPRBUDCixLoG,True
Suicide Forest,World of Decay,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/suicide-forest/world-of-decay?albumId=oX30oCXztu7VHslUyjTS,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FWorld-of-Decay-full-length_1779641177137_200_200.webp?alt=media&token=1d9cc2a0-f93f-433f-bce6-3db893e52b50,oX30oCXztu7VHslUyjTS,True
TTK,Племя зверя,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/ttk/племя-зверя?albumId=pDsCPt94BRpr3tuGQVO9,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FПлемя-зверя-full-length_1779641237476_200_200.webp?alt=media&token=0b217da6-be38-4342-8c95-a3726c5a1bd9,pDsCPt94BRpr3tuGQVO9,True
Together to the Stars,Iridescence,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/together-to-the-stars/iridescence?albumId=qg15CANX6XXVhUj5arm2,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FIridescence-full-length_1779641207808_200_200.webp?alt=media&token=f6ab7104-5ec9-47f1-94ae-81aff2ffe903,qg15CANX6XXVhUj5arm2,True
Pyromania,Satanic Violence,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,Heavy Metal,https://heavymetalbest.com/album/pyromania/satanic-violence?albumId=rodxPmFhEYF5pgRAEQOi,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSatanic-Violence-full-length_1779641133206_200_200.webp?alt=media&token=24af2bcd-4ee5-46ff-9316-d7aff5e9152a,rodxPmFhEYF5pgRAEQOi,True
Cyhra,Requiem for a Pipe Dream,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/cyhra/requiem-for-a-pipe-dream?albumId=v5GyNcjgbIHYcBPEF1H7,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FRequiem-for-a-Pipe-Dream-full-length_1779547875073_200_200.webp?alt=media&token=6f2243f2-4824-49fc-8fad-e37723398555,v5GyNcjgbIHYcBPEF1H7,True
Sunderwood,Scorched and Submerged,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,Progressive Metal,https://heavymetalbest.com/album/sunderwood/scorched-and-submerged?albumId=jdMg5IeZgcuO0Tlx4Vxv,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FScorched-and-Submerged-full-length_1779875476119_200_200.webp?alt=media&token=13dae1b7-6396-42ff-ab87-a05ffaec0168,jdMg5IeZgcuO0Tlx4Vxv,False
August Burns Red,Season of Surrender,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/august-burns-red/season-of-surrender?albumId=2qU7YwU2kpptLuwjr9ii,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums%2FSeason-of-Surrender-full-length_1780767789071.jpg?alt=media&token=568d967c-0178-46f0-a9fc-41fa9836454c,2qU7YwU2kpptLuwjr9ii,False
Guilt Trip,Armour of Angels,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/guilt-trip/armour-of-angels?albumId=ufyOU1ImR3Lgzl1S7g4w,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FArmour-of-Angels-full-length_1781371752879_200_200.webp?alt=media&token=7f868225-6359-4d11-b4ad-9ee64c670537,ufyOU1ImR3Lgzl1S7g4w,False
Evanescence,Sanctuary,2026-06-05,"June 5, 2026",June 2026,2026-06-05T00:00:00,,https://heavymetalbest.com/album/evanescence/sanctuary?albumId=Ifw5wpSmpnANrsFw3qPF,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums%2FSanctuary-full-length_1781286544525.jpg?alt=media&token=e0aafb1c-9759-412f-bdc6-cca78d0a996b,Ifw5wpSmpnANrsFw3qPF,False
Horn,Apokalyps 1618,2026-06-04,"June 4, 2026",June 2026,2026-06-04T00:00:00,,https://heavymetalbest.com/album/horn/apokalyps-1618?albumId=hDUbeQY7iT7UKM20GQio,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FApokalyps-1618-full-length_1779548107368_200_200.webp?alt=media&token=da79a776-b385-4dec-afe4-5ea16d3a368a,hDUbeQY7iT7UKM20GQio,True
Revolting,Supernatural Anthems,2026-06-04,"June 4, 2026",June 2026,2026-06-04T00:00:00,Death Metal,https://heavymetalbest.com/album/revolting/supernatural-anthems?albumId=qRVxfMy0MuihXrcGixhu,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSupernatural-Anthems-full-length_1779548157830_200_200.webp?alt=media&token=30a4a089-7d97-4cea-8209-46d81d38be78,qRVxfMy0MuihXrcGixhu,True
Nights of Malice,Chaos Exordium,2026-06-04,"June 4, 2026",June 2026,2026-06-04T00:00:00,,https://heavymetalbest.com/album/nights-of-malice/chaos-exordium?albumId=ajOhyLXJDkbx2BH8XXob,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FChaos-Exordium-full-length_1780048254275_200_200.webp?alt=media&token=61b26d7b-5b6c-4794-a5ad-c6d733f85cbf,ajOhyLXJDkbx2BH8XXob,False
Black Glow,Waves and Mirrors - Mirrors and Waves,2026-06-03,"June 3, 2026",June 2026,2026-06-03T00:00:00,"Shoegaze, Doom Metal",https://heavymetalbest.com/album/black-glow/waves-and-mirrors---mirrors-and-waves?albumId=NMy0Y84g61sU1iL6PqBm,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FWaves-and-Mirrors---Mirrors-and-Waves-full-length_1779547811851_200_200.webp?alt=media&token=7359dd00-6961-4fa3-9369-dd963c0c8b93,NMy0Y84g61sU1iL6PqBm,True
Unlucky Morpheus,Gate of Hell,2026-06-03,"June 3, 2026",June 2026,2026-06-03T00:00:00,Power Metal,https://heavymetalbest.com/album/unlucky-morpheus/gate-of-hell?albumId=RCI0tu4r3bQwPmzJikOz,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FGate-of-Hell-full-length_1779548203487_200_200.webp?alt=media&token=946171a4-45b3-4e36-a137-a977ccdac6e1,RCI0tu4r3bQwPmzJikOz,True
